Performing image warping using TORCH_ALL
Working on image 0
Not saving images, only evaluating output
Time taken was 1.286961
Reference position is (4, 4)
Position (5, 5): PSNR 38.239367, SSIM 0.944903
Position (5, 6): PSNR 36.253479, SSIM 0.919009
Position (5, 7): PSNR 34.825634, SSIM 0.894287
Position (6, 0): PSNR 34.183191, SSIM 0.877335
Position (6, 1): PSNR 35.286754, SSIM 0.900017
Position (6, 2): PSNR 36.605671, SSIM 0.922244
Position (6, 3): PSNR 37.459780, SSIM 0.934966
Position (6, 4): PSNR 38.089648, SSIM 0.943441
Position (6, 5): PSNR 36.427589, SSIM 0.920970
Position (6, 6): PSNR 35.166896, SSIM 0.900349
Position (6, 7): PSNR 34.047745, SSIM 0.877223
Position (7, 0): PSNR 33.889551, SSIM 0.868894
Position (7, 1): PSNR 34.699732, SSIM 0.887261
Position (7, 2): PSNR 35.582205, SSIM 0.904685
Position (7, 3): PSNR 35.890041, SSIM 0.911466
Position (7, 4): PSNR 35.909584, SSIM 0.912491
Position (7, 5): PSNR 34.886128, SSIM 0.893225
Position (7, 6): PSNR 33.947686, SSIM 0.873807
Position (7, 7): PSNR 33.159332, SSIM 0.855084

psnr average 36.730685, stddev 8.206950
ssim average 0.905226, stddev 0.034264
Working on image 2
Not saving images, only evaluating output
Time taken was 1.226655
Reference position is (4, 4)
Position (0, 0): PSNR 29.124390, SSIM 0.822862
Position (0, 1): PSNR 29.615042, SSIM 0.828914
Position (0, 2): PSNR 29.987580, SSIM 0.832997
Position (0, 3): PSNR 30.240409, SSIM 0.835631
Position (0, 4): PSNR 30.353186, SSIM 0.835508
Position (0, 5): PSNR 30.271871, SSIM 0.834535
Position (0, 6): PSNR 30.065738, SSIM 0.829398
Position (0, 7): PSNR 29.854416, SSIM 0.827849
Position (1, 0): PSNR 29.955002, SSIM 0.842999
Position (1, 1): PSNR 30.719897, SSIM 0.854332
Position (1, 2): PSNR 31.312441, SSIM 0.860506
Position (1, 3): PSNR 31.762876, SSIM 0.866451
Position (1, 4): PSNR 31.858935, SSIM 0.863883
Position (1, 5): PSNR 31.655361, SSIM 0.861743
Position (1, 6): PSNR 31.309060, SSIM 0.855527
Position (1, 7): PSNR 30.885595, SSIM 0.850654
Position (2, 0): PSNR 30.862555, SSIM 0.864983
Position (2, 1): PSNR 32.025685, SSIM 0.882397
Position (2, 2): PSNR 33.091600, SSIM 0.891632
Position (2, 3): PSNR 33.979156, SSIM 0.903024
Position (2, 4): PSNR 34.132474, SSIM 0.899555
Position (2, 5): PSNR 33.695546, SSIM 0.894640
Position (2, 6): PSNR 32.996180, SSIM 0.888703
